Sub ID: 47, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Godaddy (12)
Sub ID: 49, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: NameCheap (13)
Sub ID: 52, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Godaddy (12)
Sub ID: 54, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: NameCheap (13)
Sub ID: 61, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: Test user (17)
Sub ID: 62, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Godaddy (12)
Sub ID: 65, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: Test user (17)
Sub ID: 66, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: NameCheap (13)
Sub ID: 67, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: Godaddy (12)
Sub ID: 71, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: Godaddy (12)
Sub ID: 72, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: NameCheap (13)
Sub ID: 73, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: NameCheap (13)
Sub ID: 78, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: AWS (14)
Sub ID: 83, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Test user (17)
Sub ID: 90, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Godaddy (12)
Sub ID: 91, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: NameCheap (13)
Sub ID: 106, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Godaddy (12)
Sub ID: 108, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: NameCheap (13)
Sub ID: 111, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: AWS (14)
Sub ID: 113, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Godaddy (12)
Sub ID: 116, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: Test user (17)
Sub ID: 119, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: NameCheap (13)
Sub ID: 122, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: baba vendor (18)
Sub ID: 126, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: NameCheap (13)
Sub ID: 134, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: AWS (14)
Sub ID: 136, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: Godaddy (12)
Sub ID: 137, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: Godaddy (12)
Sub ID: 142, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: baba vendor (18)
Sub ID: 143, Client: Lokesh Agarwal (6212), Product: StarDesk (42), Vendor: baba vendor (18)
Sub ID: 145, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: Godaddy (12)
Sub ID: 146, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: NameCheap (13)
Sub ID: 147, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: NameCheap (13)
Sub ID: 148, Client: Lokesh Agarwal (6212), Product: test_fast (53), Vendor: NameCheap (13)
Sub ID: 149, Client: Lokesh Agarwal (6212), Product: baba product (51), Vendor: AWS (14)
Sub ID: 259, Client: Lokesh Agarwal (6222), Product: test_fast (57), Vendor: NameCheap (20)
Sub ID: 264, Client: Lokesh Agarwal (6222), Product: test_fast (57), Vendor: NameCheap (20)
Sub ID: 272, Client: Lokesh Agarwal (6222), Product: baba product (51), Vendor: baba vendor (18)
Sub ID: 308, Client: Lokesh Agarwal (6230), Product: vercel.com (77), Vendor: Test user (17)
Sub ID: 339, Client: Lokesh Agarwal (6230), Product: google.com (66), Vendor: Test user (17)
Sub ID: 340, Client: Lokesh Agarwal (6230), Product: github.com (78), Vendor: 500 (31)
Sub ID: 341, Client: Lokesh Agarwal (6230), Product: aws.com (79), Vendor: 1200 (32)
Sub ID: 342, Client: Lokesh Agarwal (6230), Product: namecheap.com (80), Vendor: 200 (33)
Sub ID: 343, Client: Lokesh Agarwal (6230), Product: digitalocean.com (81), Vendor: 800 (34)
Sub ID: 344, Client: Lokesh Agarwal (6230), Product: cloudflare.com (82), Vendor: 350 (35)
Sub ID: 345, Client: Lokesh Agarwal (6230), Product: github.com (83), Vendor: 500 (36)
Sub ID: 346, Client: Lokesh Agarwal (6230), Product: aws.com (84), Vendor: 1200 (37)
Sub ID: 347, Client: Lokesh Agarwal (6230), Product: namecheap.com (85), Vendor: 200 (38)
Sub ID: 348, Client: Lokesh Agarwal (6230), Product: notion.so (86), Vendor: 150 (39)
Sub ID: 349, Client: Lokesh Agarwal (6230), Product: slack.com (87), Vendor: 300 (40)
Sub ID: 350, Client: Lokesh Agarwal (6230), Product: github.com (118), Vendor: 500 (41)
Sub ID: 351, Client: Lokesh Agarwal (6230), Product: aws.com (119), Vendor: 1200 (42)
Sub ID: 352, Client: Lokesh Agarwal (6230), Product: namecheap.com (120), Vendor: 200 (43)
Sub ID: 353, Client: Lokesh Agarwal (6230), Product: figma.com (121), Vendor: 450 (44)
Sub ID: 354, Client: Lokesh Agarwal (6230), Product: mongodb.com (122), Vendor: 700 (45)
Sub ID: 355, Client: Lokesh Agarwal (6230), Product: atlassian.com (123), Vendor: 600 (46)
Sub ID: 356, Client: Lokesh Agarwal (6230), Product: zoom.us (124), Vendor: 300 (40)
Sub ID: 357, Client: Lokesh Agarwal (6230), Product: stripe.com (125), Vendor: 900 (47)
Sub ID: 358, Client: Lokesh Agarwal (6230), Product: openai.com (126), Vendor: 1200 (32)
Sub ID: 359, Client: Lokesh Agarwal (6230), Product: netlify.com (127), Vendor: 250 (48)
